Brand,Price,Body,Mileage,EngineV,Engine Type,Registration,Year
BMW,2800.0,sedan,296,3.0,Diesel,no,2001
Mercedes-Benz,13500.0,van,350,2.9,Diesel,yes,2000
Mitsubishi,8900.0,hatch,125,1.8,Petrol,yes,2009
Mercedes-Benz,109999.0,crossover,0,3.0,Diesel,yes,2016
Mercedes-Benz,11500.0,sedan,180,3.2,Gas,yes,2004
BMW,36900.0,crossover,82,3.0,Petrol,yes,2010
Toyota,33200.0,crossover,150,4.0,Gas,yes,2010
Volkswagen,10200.0,van,253,2.5,Diesel,yes,2008
Volkswagen,16999.0,sedan,0,1.6,Petrol,yes,2016
Toyota,10800.0,sedan,179,3.0,Gas,yes,2005
Mercedes-Benz,35500.0,other,99,2.99,Diesel,yes,2011
Volkswagen,9900.0,hatch,156,1.6,Petrol,yes,2007
Renault,7900.0,vagon,91,1.5,Diesel,yes,2008
Mercedes-Benz,13900.0,sedan,216,2.2,Diesel,yes,2007
Volkswagen,20000.0,sedan,102,1.8,Petrol,yes,2011
Toyota,28500.0,crossover,38,2.2,Diesel,yes,2015
Mitsubishi,7200.0,sedan,178,1.6,Petrol,yes,2007
Mitsubishi,9000.0,crossover,200,2.0,Gas,yes,2006
Audi,36500.0,crossover,115,3.0,Diesel,yes,2010
Volkswagen,8000.0,hatch,41,1.0,Petrol,yes,2012
Audi,43000.0,other,11,1.8,Petrol,yes,2015
Toyota,13700.0,sedan,48,1.4,Diesel,yes,2013
Toyota,7899.0,sedan,165,1.8,Gas,yes,2006
Renault,13999.0,van,180,2.0,Diesel,yes,2012
Volkswagen,10500.0,van,176,1.6,Diesel,yes,2012
Volkswagen,20800.0,other,160,2.0,Diesel,yes,2012
Mercedes-Benz,32000.0,crossover,176,3.2,Gas,yes,2003
Mercedes-Benz,14500.0,sedan,220,5.0,Petrol,yes,2004
Toyota,16900.0,hatch,20,1.6,Petrol,yes,2014
Mercedes-Benz,13600.0,van,172,2.2,Diesel,yes,2013
Audi,2600.0,vagon,273,2.5,Diesel,no,1999
BMW,12000.0,sedan,237,3.0,Diesel,yes,2003
Volkswagen,18800.0,vagon,106,1.6,Diesel,yes,2013
Toyota,35500.0,crossover,85,3.0,Diesel,yes,2012
Mercedes-Benz,29900.0,other,71,5.5,Petrol,yes,2007
Renault,6750.0,other,110,1.5,Diesel,yes,2012
BMW,34900.0,crossover,117,3.0,Petrol,yes,2011
Volkswagen,7700.0,van,177,1.9,Diesel,yes,2008
Renault,9250.0,vagon,220,1.5,Diesel,yes,2010
Renault,8400.0,hatch,84,1.5,Diesel,yes,2011
Toyota,11750.0,sedan,93,1.6,Petrol,yes,2013
Mercedes-Benz,5800.0,van,368,2.2,Diesel,yes,2000
Toyota,5900.0,crossover,180,3.0,Diesel,no,2003
BMW,44999.0,crossover,87,3.0,Diesel,yes,2011
Volkswagen,10500.0,van,170,1.6,Diesel,yes,2013
Mercedes-Benz,17900.0,sedan,190,3.0,Diesel,yes,2007
Audi,9999.0,sedan,190,3.0,Petrol,yes,2007
Audi,9999.0,sedan,190,2.5,Diesel,yes,2003
Volkswagen,61000.0,crossover,2,3.0,Diesel,yes,2016
Toyota,38300.0,crossover,130,5.7,Gas,yes,2009
Toyota,17700.0,sedan,30,1.6,Petrol,yes,2014
Volkswagen,55555.0,van,50,2.0,Diesel,yes,2013
BMW,18000.0,crossover,280,3.0,Diesel,yes,2005
Renault,7600.0,other,125,1.5,Diesel,yes,2013
Renault,6900.0,sedan,68,1.5,Diesel,yes,2013
Renault,15635.1,vagon,0,1.5,Diesel,yes,2016
Renault,10550.0,van,195,2.0,Diesel,yes,2011
Volkswagen,12500.0,van,190,1.9,Diesel,yes,2008
Audi,13000.0,sedan,157,3.0,Petrol,yes,2006
BMW,7400.0,sedan,285,4.4,Gas,yes,1997
Renault,9500.0,hatch,100,1.5,Diesel,yes,2009
Audi,18800.0,crossover,197,4.2,Petrol,yes,2007
Toyota,8000.0,sedan,176,3.0,Petrol,yes,2002
Volkswagen,8700.0,vagon,250,1.9,Diesel,yes,2002
Mercedes-Benz,9999.0,crossover,300,3.2,Petrol,yes,1998
Volkswagen,16700.0,sedan,175,2.0,Petrol,yes,2011
Toyota,13900.0,hatch,90,1.6,Petrol,yes,2012
Volkswagen,18700.0,other,145,2.0,Diesel,yes,2011
Mitsubishi,6200.0,sedan,152,1.6,Petrol,yes,2006
Renault,3600.0,van,22,1.9,Diesel,yes,2001
Renault,7500.0,vagon,98,1.4,Petrol,yes,2007
Renault,2300.0,van,200,1.9,Diesel,yes,2002
Volkswagen,16900.0,crossover,133,2.5,Diesel,yes,2007
Mitsubishi,13499.0,crossover,116,2.4,Petrol,yes,2008
Renault,5700.0,van,180,1.5,Diesel,yes,2007
Mitsubishi,17900.0,crossover,140,3.8,Gas,yes,2007
Volkswagen,13900.0,other,170,1.9,Diesel,yes,2006
Audi,7950.0,vagon,167,2.5,Diesel,yes,2000
BMW,9700.0,sedan,250,2.0,Petrol,yes,2003
Volkswagen,7500.0,sedan,240,1.8,Petrol,yes,2002
Audi,19999.0,crossover,117,4.2,Petrol,yes,2007
BMW,9100.0,sedan,230,2.0,Gas,yes,2004
Volkswagen,13300.0,hatch,73,1.4,Petrol,yes,2011
Volkswagen,21000.0,hatch,22,1.2,Other,yes,2014
Audi,6600.0,sedan,360,1.8,Petrol,yes,1998
Audi,7600.0,vagon,226,3.0,Diesel,no,2006
Mercedes-Benz,3500.0,hatch,258,1.7,Diesel,no,2002
Volkswagen,3500.0,sedan,3,1.8,Petrol,yes,1991
Mercedes-Benz,17900.0,van,167,2.2,Diesel,yes,2012
Renault,1950.0,vagon,286,1.9,Diesel,no,2001
Volkswagen,7990.0,sedan,90,1.4,Petrol,yes,2003
Volkswagen,6500.0,sedan,320,1.9,Diesel,yes,2001
Mitsubishi,3500.0,sedan,300,2.0,Diesel,yes,1996
Toyota,14100.0,sedan,113,2.4,Gas,yes,2009
Toyota,2999.0,other,300,1.6,Petrol,yes,1991
BMW,66900.0,crossover,70,3.0,Diesel,yes,2014
Toyota,13100.0,sedan,200,3.5,Gas,yes,2006
Volkswagen,6900.0,sedan,300,1.8,Petrol,yes,1998
Volkswagen,23999.0,sedan,80,2.0,Diesel,yes,2014
Mitsubishi,6990.0,crossover,225,2.5,Petrol,yes,1997
Toyota,13999.0,sedan,198,2.4,Gas,yes,2009
Renault,7600.0,van,108,1.0,Diesel,yes,2013
Renault,11100.0,vagon,180,1.5,Diesel,yes,2012
Mercedes-Benz,16500.0,other,260,2.2,Diesel,yes,2011
Mercedes-Benz,44000.0,other,82,5.5,Petrol,yes,2010
Audi,39900.0,other,12,1.8,Petrol,yes,2014
Mercedes-Benz,20500.0,sedan,173,1.8,Gas,yes,2011
BMW,8000.0,crossover,214,4.4,Petrol,no,2000
BMW,11600.0,sedan,142,2.0,Petrol,yes,2005
Renault,11500.0,vagon,170,1.5,Diesel,yes,2012
Volkswagen,13700.0,other,103,2.0,Diesel,yes,2011
Mercedes-Benz,13700.0,van,198,3.2,Gas,yes,2006
Renault,7700.0,vagon,200,1.5,Diesel,yes,2007
Mercedes-Benz,5800.0,sedan,231,2.2,Petrol,yes,1994
Volkswagen,9500.0,sedan,95,2.0,Petrol,yes,2007
Mercedes-Benz,24900.0,sedan,140,5.5,Petrol,yes,2009
Volkswagen,55500.0,crossover,47,3.0,Diesel,yes,2016
Volkswagen,6500.0,van,186,2.8,Petrol,yes,2000
Mercedes-Benz,8300.0,sedan,175,3.2,Diesel,no,2006
Mitsubishi,12000.0,crossover,130,3.0,Gas,yes,2007
Mercedes-Benz,15000.0,crossover,185,3.7,Gas,yes,2005
BMW,8100.0,sedan,246,3.0,Diesel,yes,2000
Renault,8000.0,sedan,175,2.0,Gas,yes,2005
Mercedes-Benz,5500.0,van,285,2.3,Diesel,yes,1999
Renault,9600.0,vagon,184,1.5,Diesel,yes,2011
BMW,10800.0,sedan,180,2.0,Petrol,yes,2002
Mercedes-Benz,10999.0,van,263,2.2,Diesel,yes,2005
BMW,44000.0,crossover,80,3.0,Diesel,yes,2012
Toyota,19200.0,hatch,54,1.4,Other,yes,2012
Mercedes-Benz,19600.0,van,127,1.8,Diesel,yes,2013
Volkswagen,9000.0,sedan,135,1.6,Gas,yes,2011
BMW,10900.0,sedan,245,3.0,Diesel,yes,2003
Volkswagen,12900.0,van,180,2.0,Diesel,yes,2012
BMW,6600.0,sedan,285,2.5,Petrol,yes,1999
Renault,15820.35,sedan,0,1.5,Diesel,yes,2016
Toyota,10200.0,sedan,180,2.4,Petrol,yes,2003
Mercedes-Benz,6000.0,sedan,366,3.2,Gas,yes,1994
Audi,3500.0,sedan,1,2.0,Other,yes,1988
Volkswagen,7800.0,van,380,2.5,Diesel,yes,1999
Toyota,35900.0,crossover,84,3.0,Diesel,yes,2013
Renault,11700.0,crossover,90,1.5,Diesel,yes,2011
Volkswagen,15200.0,crossover,58,2.0,Petrol,yes,2008
Mercedes-Benz,2500.0,sedan,111,2.3,Gas,yes,1992
Volkswagen,16800.0,other,164,2.0,Diesel,yes,2010
BMW,50499.0,sedan,128,3.0,Diesel,yes,2013
BMW,2250.0,sedan,300,2.5,Petrol,no,1997
Mercedes-Benz,9300.0,sedan,270,2.7,Diesel,yes,2001
Toyota,11500.0,van,161,2.5,Diesel,yes,2002
BMW,13000.0,sedan,304,4.4,Other,yes,2002
Mercedes-Benz,7500.0,sedan,319,3.2,Gas,yes,1997
Mercedes-Benz,17999.0,other,38,2.0,Petrol,yes,2009
Renault,7300.0,vagon,162,1.5,Diesel,yes,2006
Toyota,29900.0,crossover,117,3.0,Diesel,yes,2008
Renault,4950.0,vagon,170,1.5,Diesel,yes,2004
Audi,36000.0,vagon,40,3.0,Diesel,yes,2010
Audi,1700.0,sedan,177,1.6,Petrol,no,1996
Audi,12450.0,vagon,1,2.0,Diesel,yes,2008
Volkswagen,13893.75,sedan,0,1.6,Petrol,yes,2016
Volkswagen,44600.0,crossover,60,3.0,Diesel,yes,2013
Toyota,35138.29,crossover,0,2.0,Petrol,yes,2016
BMW,3500.0,sedan,313,2.5,Diesel,yes,1994
Mercedes-Benz,12800.0,other,260,2.7,Diesel,yes,2005
Volkswagen,27000.0,sedan,85,2.0,Diesel,yes,2013
Volkswagen,14800.0,sedan,143,2.0,Diesel,yes,2010
Renault,2200.0,other,155,1.6,Petrol,no,2004
Volkswagen,2900.0,van,433,2.4,Diesel,no,1995
Audi,12000.0,sedan,200,6.0,Petrol,yes,2004
Volkswagen,41000.0,crossover,180,3.0,Diesel,yes,2013
Audi,16300.0,vagon,180,3.2,Petrol,yes,2006
Renault,5300.0,van,145,1.5,Other,yes,2010
Mercedes-Benz,40500.0,sedan,39,2.2,Diesel,yes,2015
Mercedes-Benz,4300.0,van,300,2.2,Diesel,no,2005
Volkswagen,4000.0,crossover,137,2.5,Diesel,no,2004
Volkswagen,9600.0,hatch,132,1.6,Petrol,yes,2007
Mitsubishi,18000.0,crossover,112,3.0,Gas,yes,2008
Renault,11300.0,vagon,184,1.5,Diesel,yes,2011
Volkswagen,4999.0,hatch,131,1.4,Petrol,yes,2002
Mercedes-Benz,24999.0,sedan,112,2.2,Diesel,yes,2012
Toyota,23300.0,crossover,93,2.7,Other,yes,2011
Toyota,14900.0,crossover,124,4.0,Petrol,yes,2006
Audi,22800.0,sedan,184,2.7,Diesel,yes,2010
Mercedes-Benz,35500.0,sedan,137,3.0,Diesel,yes,2011
Volkswagen,15000.0,other,280,2.8,Diesel,yes,2006
Toyota,8650.0,sedan,132,1.6,Petrol,yes,2008
Mitsubishi,22400.0,crossover,96,2.5,Diesel,yes,2011
Mitsubishi,10400.0,sedan,123,2.0,Petrol,yes,2009
Audi,10500.0,vagon,198,4.2,Gas,yes,2005
Renault,11900.0,crossover,68,1.5,Diesel,yes,2011
BMW,36900.0,sedan,17,2.0,Petrol,yes,2013
BMW,24500.0,crossover,170,3.0,Diesel,yes,2006
Volkswagen,4700.0,van,400,2.4,Diesel,yes,1999
Toyota,18100.0,hatch,30,1.6,Petrol,yes,2013
Mercedes-Benz,115000.0,sedan,47,4.6,Petrol,yes,2013
Mercedes-Benz,10900.0,sedan,217,3.2,Diesel,yes,2002
BMW,7000.0,sedan,280,3.0,Petrol,yes,2001
Volkswagen,9999.0,vagon,161,2.0,Diesel,yes,2008
Mitsubishi,12300.0,other,160,2.5,Diesel,yes,2008
Volkswagen,67622.55,crossover,0,3.0,Diesel,yes,2016
Volkswagen,18900.0,other,45,2.0,Diesel,yes,2013
Volkswagen,6999.0,sedan,248,1.8,Petrol,yes,2002
Mercedes-Benz,10250.0,sedan,261,1.8,Petrol,yes,2003
Toyota,3500.0,sedan,286,1.6,Petrol,yes,2000
BMW,13500.0,crossover,250,3.0,Diesel,no,2006
BMW,2450.0,sedan,328,2.5,Diesel,no,1996
Volkswagen,7500.0,van,180,2.5,Diesel,yes,2004
Volkswagen,4900.0,vagon,263,2.0,Diesel,no,2007
Mercedes-Benz,5000.0,vagon,248,2.0,Gas,yes,1996
BMW,29900.0,crossover,235,3.0,Diesel,yes,2009
Renault,7000.0,sedan,110,1.4,Petrol,yes,2012
Mitsubishi,11800.0,sedan,1,1.5,Gas,yes,2010
Mercedes-Benz,16500.0,van,223,2.2,Diesel,yes,2009
BMW,5300.0,sedan,147,2.2,Gas,no,2001
Mercedes-Benz,7200.0,van,200,2.2,Diesel,yes,2004
Volkswagen,8500.0,van,230,1.9,Diesel,yes,2008
BMW,39000.0,crossover,180,3.0,Diesel,yes,2011
Volkswagen,1850.0,vagon,270,1.9,Diesel,yes,2000
Audi,36100.0,sedan,75,3.0,Diesel,yes,2011
Mitsubishi,3149.25,hatch,330,2.0,Gas,yes,1993
Renault,5800.0,van,159,1.5,Diesel,yes,2007
BMW,6700.0,sedan,370,2.0,Petrol,yes,1997
Renault,18988.13,crossover,0,1.5,Diesel,yes,2016
Volkswagen,28660.0,van,0,1.6,Diesel,yes,2016
BMW,2999.0,sedan,210,2.0,Other,no,1999
BMW,64500.0,crossover,1,2.0,Diesel,yes,2016
Toyota,21500.0,crossover,135,2.0,Gas,yes,2007
BMW,85555.0,sedan,10,3.0,Diesel,yes,2015
Volkswagen,8650.0,van,108,1.6,Diesel,yes,2013
BMW,10600.0,sedan,1,3.0,Diesel,yes,2000
Toyota,6900.0,hatch,109,1.3,Gas,yes,2007
Mercedes-Benz,2900.0,other,248,2.0,Petrol,no,1999
Mercedes-Benz,12250.0,other,185,2.2,Diesel,yes,2012
BMW,21700.0,crossover,101,2.5,Gas,yes,2007
Mercedes-Benz,2000.0,sedan,320,2.2,Diesel,no,1998
Audi,9900.0,vagon,284,2.5,Diesel,yes,2004
Mercedes-Benz,5850.0,van,240,2.2,Diesel,yes,2001
Toyota,8200.0,vagon,204,1.4,Diesel,yes,2005
Renault,7300.0,vagon,200,1.5,Diesel,yes,2008
Mitsubishi,8000.0,sedan,145,2.0,Gas,yes,2007
Renault,6600.0,van,184,1.5,Diesel,yes,2012
